Context Feature,Bounds
FPS,"(1, 500, <class 'float'>)"
SCALE,"(1, 100, <class 'float'>)"
FRICTION,"(0, 10, <class 'float'>)"
TERRAIN_STEP,"(0.25, 1, <class 'float'>)"
TERRAIN_LENGTH,"(100, 500, <class 'int'>)"
TERRAIN_HEIGHT,"(3, 10, <class 'float'>)"
TERRAIN_GRASS,"(5, 15, <class 'int'>)"
TERRAIN_STARTPAD,"(10, 30, <class 'int'>)"
MOTORS_TORQUE,"(0, 200, <class 'float'>)"
SPEED_HIP,"(1e-06, 15, <class 'float'>)"
SPEED_KNEE,"(1e-06, 15, <class 'float'>)"
LIDAR_RANGE,"(0.5, 20, <class 'float'>)"
LEG_DOWN,"(-2, -0.25, <class 'float'>)"
LEG_W,"(0.25, 0.5, <class 'float'>)"
LEG_H,"(0.25, 2, <class 'float'>)"
INITIAL_RANDOM,"(0, 50, <class 'float'>)"
VIEWPORT_W,"(400, 1000, <class 'int'>)"
VIEWPORT_H,"(200, 800, <class 'int'>)"
GRAVITY_X,"(-20, 20, <class 'float'>)"
GRAVITY_Y,"(-20, -0.01, <class 'float'>)"
